uid,score,timePlaying,totalPoints,highscore,numberOfPlays,date,gameMode
"00001",5,6,7,8,9,,
"0420",4,2,0,0,0,,
"0421",4,2,0,0,0,,
"1423252252082",1,1,1,1,1,,
"1423252868772",9,8,9,9,1,,
"1423260905371",36,35,36,36,1,,
"1423331323307",3,522,441,141,18,,
"1423333719826",1,3,2,1,2,,
"1423333719826",1,1,1,1,1,,
"1423335862368",2,2,2,2,1,,
"1423335862368",0,2,2,2,2,"Sat Feb 07 2015 19:05:19 GMT+0000 (UTC)",
"1423333719826",88,109,101,88,4,"Sat Feb 07 2015 19:17:47 GMT+0000 (UTC)",
"1423333719826",105,125,18,105,4,"Sat Feb 07 2015 19:18:17 GMT+0000 (UTC)",
"1423439534924",1,10,1,1,4,"Sun Feb 08 2015 23:52:14 GMT+0000 (UTC)",
"1423252868772",26,84,104,60,4,"Mon Feb 09 2015 12:37:15 GMT+0000 (UTC)",
"1423252868772",97,162,201,97,5,"Mon Feb 09 2015 12:38:36 GMT+0000 (UTC)",
"1423495987770",1,1,1,1,1,"Mon Feb 09 2015 15:30:31 GMT+0000 (UTC)","normal"
"1423495987770",6,8,7,6,2,"Mon Feb 09 2015 16:07:25 GMT+0000 (UTC)","normal"
"1423495987770",2,10,9,6,3,"Mon Feb 09 2015 16:08:11 GMT+0000 (UTC)","normal"
"1423495987770",1,11,10,6,4,"Mon Feb 09 2015 16:10:00 GMT+0000 (UTC)","normal"
"1423495987770",1,13,11,6,5,"Mon Feb 09 2015 16:11:45 GMT+0000 (UTC)","normal"
"1423495987770",1,15,12,6,6,"Mon Feb 09 2015 16:12:05 GMT+0000 (UTC)","normal"
"1423495987770",3,19,15,6,7,"Mon Feb 09 2015 16:12:31 GMT+0000 (UTC)","normal"
"1423495987770",1,19,16,6,8,"Mon Feb 09 2015 16:12:38 GMT+0000 (UTC)","normal"
"1423495987770",1,19,16,6,8,"Mon Feb 09 2015 16:12:42 GMT+0000 (UTC)","normal"
"1423252868772",8,171,209,97,6,"Mon Feb 09 2015 16:13:23 GMT+0000 (UTC)","normal"
"1423252868772",5,176,214,97,7,"Mon Feb 09 2015 16:17:16 GMT+0000 (UTC)","normal"
"1423495987770",1,20,17,6,9,"Mon Feb 09 2015 16:51:48 GMT+0000 (UTC)","normal"
"1423252868772",166,331,380,166,8,"Mon Feb 09 2015 19:25:09 GMT+0000 (UTC)","normal"
"1423252868772",197,356,311,197,8,"Mon Feb 09 2015 19:25:36 GMT+0000 (UTC)","normal"
"1423252868772",202,360,116,202,8,"Mon Feb 09 2015 19:25:43 GMT+0000 (UTC)","normal"
"1423252868772",6,366,122,202,9,"Mon Feb 09 2015 19:26:30 GMT+0000 (UTC)","normal"
"1423252868772",6,366,122,202,9,"Mon Feb 09 2015 19:26:30 GMT+0000 (UTC)","normal"
"1423252868772",2,368,124,202,10,"Mon Feb 09 2015 20:49:24 GMT+0000 (UTC)","normal"
"1423252868772",8,374,132,202,11,"Mon Feb 09 2015 20:49:28 GMT+0000 (UTC)","normal"
"1423252868772",4,377,136,202,12,"Mon Feb 09 2015 20:49:37 GMT+0000 (UTC)","normal"
"1423252868772",20,395,156,202,13,"Tue Feb 10 2015 00:22:16 GMT+0000 (UTC)","normal"
"1423252868772",16,409,172,202,14,"Tue Feb 10 2015 00:22:33 GMT+0000 (UTC)","normal"
"1423252868772",17,429,189,202,15,"Tue Feb 10 2015 00:24:17 GMT+0000 (UTC)","normal"
"1423530048200",1,5,1,1,1,"Tue Feb 10 2015 01:21:51 GMT+0000 (UTC)","normal"
"1423530048200",30,37,31,30,2,"Tue Feb 10 2015 01:23:43 GMT+0000 (UTC)","normal"
"1423530048200",4,44,35,30,3,"Tue Feb 10 2015 01:24:56 GMT+0000 (UTC)","normal"
"1423530048200",13,60,48,30,4,"Tue Feb 10 2015 01:25:53 GMT+0000 (UTC)","normal"
"1423530048200",2,67,50,30,5,"Tue Feb 10 2015 01:26:02 GMT+0000 (UTC)","normal"
"1423265542728",0,1386,5064,143,68,"Tue Feb 10 2015 13:26:53 GMT+0000 (UTC)",
"1423265542728",29,1416,5093,143,69,"Tue Feb 10 2015 13:27:27 GMT+0000 (UTC)",
"1423265542728",1,1417,5094,143,70,"Tue Feb 10 2015 13:27:35 GMT+0000 (UTC)",
"1423265542728",14,1431,5108,143,71,"Tue Feb 10 2015 13:27:54 GMT+0000 (UTC)",
"1423265542728",3,1435,5111,143,72,"Tue Feb 10 2015 13:28:02 GMT+0000 (UTC)",
"1423265542728",2,1437,5113,143,73,"Tue Feb 10 2015 13:28:06 GMT+0000 (UTC)",
"1423265542728",5,1442,5118,143,74,"Tue Feb 10 2015 13:28:15 GMT+0000 (UTC)",
"1423265542728",30,1475,5148,143,75,"Tue Feb 10 2015 13:28:51 GMT+0000 (UTC)",
"1423265542728",2,1478,5150,143,76,"Tue Feb 10 2015 13:29:02 GMT+0000 (UTC)",
"1423265542728",6,1488,5156,143,77,"Tue Feb 10 2015 13:29:15 GMT+0000 (UTC)",
"1423265542728",3,1491,5159,143,78,"Tue Feb 10 2015 13:29:20 GMT+0000 (UTC)",
"1423265542728",36,1529,5195,143,79,"Tue Feb 10 2015 13:30:00 GMT+0000 (UTC)",
"1423265542728",7,1537,15202,143,80,"Tue Feb 10 2015 13:50:54 GMT+0000 (UTC)",
"1423265542728",9,1546,15211,143,81,"Tue Feb 10 2015 13:51:00 GMT+0000 (UTC)",
"1423252868772",1,437,190,202,16,"Tue Feb 10 2015 17:29:33 GMT+0000 (UTC)","normal"
"1423252868772",0,440,190,202,17,"Tue Feb 10 2015 17:29:39 GMT+0000 (UTC)","normal"
"1423252868772",0,441,190,202,18,"Tue Feb 10 2015 17:29:44 GMT+0000 (UTC)","normal"
"1423252868772",5,447,195,202,19,"Tue Feb 10 2015 17:33:59 GMT+0000 (UTC)","normal"
"1423252868772",2,449,197,202,20,"Tue Feb 10 2015 17:37:45 GMT+0000 (UTC)","normal"
"1423252868772",15,461,212,202,21,"Tue Feb 10 2015 21:17:09 GMT+0000 (UTC)","normal"
"1423252868772",29,483,241,202,22,"Tue Feb 10 2015 21:17:33 GMT+0000 (UTC)","normal"
"1423252868772",56,526,297,202,23,"Tue Feb 10 2015 21:18:19 GMT+0000 (UTC)","normal"
"1423252868772",16,538,313,202,24,"Tue Feb 10 2015 21:18:35 GMT+0000 (UTC)","normal"
"1423252868772",50,577,363,202,25,"Tue Feb 10 2015 21:19:16 GMT+0000 (UTC)","normal"
"1423439534924",35,40,36,35,5,"Wed Feb 11 2015 02:26:25 GMT+0000 (UTC)","normal"
"1423622559471",80,3960,96,172,94,"Wed Feb 11 2015 02:44:26 GMT+0000 (UTC)","blacktheme"
"1423495987770",0,23,17,6,10,"Wed Feb 11 2015 14:22:18 GMT+0000 (UTC)","normal"
"1423495987770",0,26,17,6,11,"Wed Feb 11 2015 14:31:15 GMT+0000 (UTC)","normal"
"1423495987770",0,29,17,6,12,"Wed Feb 11 2015 14:32:37 GMT+0000 (UTC)","normal"
"1423495987770",0,32,17,6,13,"Wed Feb 11 2015 14:34:10 GMT+0000 (UTC)","normal"
"1423495987770",6,43,23,6,14,"Wed Feb 11 2015 14:47:02 GMT+0000 (UTC)","normal"
"1423495987770",6,52,29,6,15,"Wed Feb 11 2015 14:48:07 GMT+0000 (UTC)","normal"
"1423495987770",7,61,36,7,16,"Wed Feb 11 2015 14:48:44 GMT+0000 (UTC)","normal"
"1423495987770",0,62,36,7,17,"Wed Feb 11 2015 14:48:47 GMT+0000 (UTC)","normal"
"1423495987770",6,69,42,7,18,"Wed Feb 11 2015 14:48:57 GMT+0000 (UTC)","normal"
"1423495987770",6,79,48,7,19,"Wed Feb 11 2015 14:50:21 GMT+0000 (UTC)","normal"
"1423252868772",7,583,370,202,26,"Wed Feb 11 2015 15:17:16 GMT+0000 (UTC)","normal"
"1423252868772",3,585,373,202,27,"Wed Feb 11 2015 15:17:18 GMT+0000 (UTC)","normal"
"1423252868772",7,591,380,202,28,"Wed Feb 11 2015 15:17:27 GMT+0000 (UTC)","normal"
"1423495987770",1,81,49,7,20,"Wed Feb 11 2015 15:23:22 GMT+0000 (UTC)","normal"
"1423495987770",0,82,49,7,21,"Wed Feb 11 2015 15:29:43 GMT+0000 (UTC)","normal"
"1423495987770",10,94,59,10,22,"Wed Feb 11 2015 15:30:13 GMT+0000 (UTC)","normal"
"1423495987770",3,97,62,10,23,"Wed Feb 11 2015 15:30:21 GMT+0000 (UTC)","normal"
"1423495987770",0,104,62,10,24,"Wed Feb 11 2015 15:30:33 GMT+0000 (UTC)","normal"
"1423495987770",0,104,62,10,25,"Wed Feb 11 2015 15:30:47 GMT+0000 (UTC)","normal"
"1423495987770",1,106,63,10,26,"Wed Feb 11 2015 15:31:56 GMT+0000 (UTC)","normal"
"1423495987770",0,107,63,10,27,"Wed Feb 11 2015 15:33:55 GMT+0000 (UTC)","normal"
"1423252868772",13,602,393,202,29,"Wed Feb 11 2015 15:59:00 GMT+0000 (UTC)","normal"
"1423252868772",25,628,418,202,30,"Wed Feb 11 2015 16:15:02 GMT+0000 (UTC)","normal"
"1423252868772",2,630,420,202,31,"Wed Feb 11 2015 16:15:13 GMT+0000 (UTC)","normal"
"1423252868772",3,633,423,202,32,"Wed Feb 11 2015 16:15:17 GMT+0000 (UTC)","normal"
